id,target
375,7
376,7
377,8
378,4
379,2
380,2
381,2
382,6
383,7
384,5
385,8
386,3
387,2
388,2
389,4
390,2
391,3
392,3
393,3
394,5
395,7
396,2
397,5
398,2
399,5
400,2
401,8
402,5
403,8
404,6
405,5
406,2
407,7
408,7
409,7
410,8
411,6
412,2
413,7
414,2
415,2
416,2
417,4
418,3
419,7
420,3
421,5
422,6
423,4
424,5
425,2
426,6
427,6
428,3
429,2
430,6
431,5
432,6
433,2
434,6
435,5
436,6
437,5
438,6
439,6
440,4
441,5
442,7
443,4
444,5
445,6
446,6
447,2
448,4
449,2
450,7
451,2
452,8
453,7
454,6
455,7
456,4
457,4
458,6
459,5
460,2
461,4
462,2
463,8
464,2
465,7
466,2
467,8
468,6
469,3
470,4
471,5
472,3
473,3
474,2
475,6
476,5
477,2
478,5
479,2
480,3
481,2
482,5
483,6
484,2
485,4
486,7
487,2
488,2
489,2
490,4
491,5
492,2
493,6
494,2
495,2
496,4
497,4
498,4
499,3
500,7
501,2
502,2
503,7
504,5
505,2
506,5
507,3
508,2
509,7
510,2
511,3
512,7
513,2
514,6
515,4
516,6
517,4
518,6
519,3
520,7
521,5
522,6
523,5
524,7
525,3
526,5
527,2
528,8
529,6
530,2
531,6
532,2
533,6
534,2
535,5
536,6
537,6
538,2
539,2
540,6
541,5
542,2
543,4
544,6
545,7
546,6
547,2
548,2
549,7
550,6
551,2
552,4
553,7
554,1
555,4
556,4
557,3
558,7
559,2
560,2
561,2
562,5
563,2
564,4
565,2
566,2
567,5
568,6
569,3
570,2
571,2
572,5
573,7
574,2
575,4
576,3
577,5
578,2
579,6
580,6
581,3
582,2
583,6
584,5
585,2
586,4
587,6
588,3
589,2
590,2
591,5
592,2
593,5
594,2
595,7
596,6
597,2
598,5
599,4
600,6
601,2
602,8
603,7
604,4
605,8
606,2
607,4
608,3
609,4
610,6
611,2
612,2
613,5
614,5
615,2
616,4
617,7
618,4
619,8
620,5
621,2
622,8
623,4
624,6
625,3
626,6
627,6
628,4
629,8
630,7
631,3
632,8
633,5
634,3
635,3
636,7
637,5
638,7
639,2
640,6
641,4
642,4
643,4
644,2
645,6
646,2
647,7
648,6
649,6
650,5
651,6
652,3
653,2
654,8
655,6
656,5
657,7
658,2
659,6
660,6
661,3
662,3
663,2
664,2
665,8
666,7
667,6
668,2
669,5
670,6
671,2
672,8
673,2
674,3
675,6
676,5
677,2
678,4
679,7
680,7
681,7
682,7
683,5
684,5
685,7
686,5
687,3
688,2
689,4
690,6
691,4
692,4
693,5
694,5
695,3
696,6
697,6
698,6
699,4
700,5
701,4
702,2
703,2
704,6
705,5
706,2
707,5
708,2
709,5
710,3
711,3
712,8
713,3
714,2
715,3
716,6
717,2
718,8
719,5
720,5
721,2
722,6
723,4
724,5
725,3
726,4
727,8
728,7
729,5
730,2
731,5
732,5
733,2
734,5
735,7
736,6
737,7
738,2
739,7
740,6
741,7
742,6
743,5
744,2
745,2
746,5
747,7
748,5
749,2
750,6
751,2
752,2
753,2
754,2
755,7
756,8
757,5
758,5
759,6
760,2
761,8
762,6
763,6
764,5
765,4
766,4
767,4
768,6
769,2
770,7
771,6
772,3
773,3
774,3
775,7
776,3
777,5
778,5
779,2
780,4
781,3
782,3
783,6
784,2
785,2
786,2
787,4
788,2
789,4
790,7
791,5
792,4
793,2
794,2
795,2
796,6
797,7
798,4
799,6
800,2
801,5
802,7
803,7
804,2
805,6
806,2
807,2
808,2
809,4
810,3
811,3
812,6
813,7
814,7
815,6
816,5
817,5
818,6
819,4
820,2
821,5
822,7
823,3
824,6
825,2
826,5
827,2
828,5
829,3
830,2
831,3
832,5
833,7
834,2
835,6
836,8
837,2
838,5
839,2
840,2
841,7
842,8
843,6
844,7
845,2
846,2
847,3
848,7
849,7
850,7
851,5
852,5
853,2
854,8
855,6
856,3
857,7
858,5
859,2
860,2
861,2
862,5
863,8
864,6
865,2
866,7
867,7
868,2
869,6
870,3
871,6
872,6
873,2
874,5
875,8
876,2
877,6
878,6
879,2
880,2
881,5
882,5
883,6
884,7
885,6
886,5
887,6
888,8
889,4
890,6
891,7
892,7
893,4
894,7
895,4
896,2
897,2
898,6
899,4
900,3
901,2
902,8
903,2
904,7
905,5
906,4
907,6
908,4
909,8
910,2
911,5
912,4
913,2
914,7
915,4
916,5
917,5
918,2
919,6
920,6
921,5
922,6
923,2
924,7
925,2
926,3
927,4
928,2
929,6
930,3
931,5
932,6
933,6
934,2
935,5
936,3
937,6
938,4
939,6
940,6
941,6
942,4
943,8
944,6
945,2
946,8
947,2
948,8
949,6
950,2
951,5
952,2
953,2
954,4
955,6
956,3
957,6
958,4
959,6
960,5
961,6
962,6
963,3
964,6
965,3
966,6
967,6
968,2
969,3
970,2
971,6
972,6
973,2
974,5
975,2
976,3
977,4
978,2
979,6
980,2
981,2
982,3
983,7
984,2
985,7
986,7
987,8
988,8
989,6
990,3
991,6
992,6
993,3
994,6
995,5
996,8
997,4
998,2
999,5
1000,5
1001,3
1002,2
1003,2
1004,7
1005,8
1006,2
1007,4
1008,8
1009,4
1010,2
1011,4
1012,2
1013,4
1014,4
1015,2
1016,7
1017,2
1018,4
1019,2
1020,7
1021,3
1022,5
1023,6
1024,2
1025,6
1026,7
1027,7
1028,5
1029,7
1030,2
1031,7
1032,3
1033,4
1034,4
1035,5
1036,2
1037,7
1038,5
1039,5
1040,4
1041,6
1042,5
1043,3
1044,5
1045,2
1046,4
1047,7
1048,7
1049,7
1050,3
1051,5
1052,5
1053,6
1054,6
1055,3
1056,8
1057,2
1058,3
1059,3
1060,7
1061,4
1062,7
1063,7
1064,8
1065,4
1066,6
1067,6
1068,6
1069,2
1070,4
1071,7
1072,3
1073,7
1074,4
1075,3
1076,2
1077,5
1078,8
1079,7
1080,4
1081,2
1082,2
1083,6
1084,2
1085,8
1086,4
1087,2
1088,5
1089,2
1090,2
1091,2
1092,3
1093,5
1094,7
1095,4
1096,2
1097,7
1098,7
1099,2
1100,6
1101,8
1102,5
1103,7
1104,5
1105,6
1106,4
1107,4
1108,3
1109,6
1110,2
1111,6
1112,5
1113,2
1114,4
1115,2
1116,5
1117,7
1118,7
1119,2
1120,8
1121,2
1122,6
1123,6
1124,7
1125,4
1126,7
1127,2
1128,8
1129,4
1130,2
1131,5
1132,8
1133,7
1134,5
1135,2
1136,4
1137,2
1138,7
1139,6
1140,8
1141,8
1142,2
1143,2
1144,4
1145,3
1146,6
1147,3
1148,5
1149,2
1150,6
1151,8
1152,7
1153,6
1154,6
1155,6
1156,2
1157,2
1158,5
1159,5
1160,6
1161,2
1162,7
1163,4
1164,2
1165,7
1166,7
1167,6
1168,2
1169,4
1170,2
1171,6
1172,2
1173,2
1174,4
1175,2
1176,6
1177,6
1178,2
1179,7
1180,6
1181,3
1182,6
1183,2
1184,6
1185,4
1186,4
1187,4
1188,5
1189,8
1190,7
1191,5
1192,2
1193,6
1194,2
1195,7
1196,2
1197,7
1198,2
1199,2
1200,7
1201,4
1202,6
1203,5
1204,2
1205,3
1206,8
1207,7
1208,2
1209,2
1210,2
1211,5
1212,2
1213,5
1214,2
1215,4
1216,7
1217,2
1218,3
1219,8
1220,2
1221,2
1222,5
1223,6
1224,6
1225,5
1226,6
1227,5
1228,2
1229,2
1230,6
1231,8
1232,6
1233,2
1234,6
1235,3
1236,2
1237,7
1238,6
1239,4
1240,6
1241,2
1242,2
1243,2
1244,4
1245,3
1246,2
1247,6
1248,5
1249,6
1250,3
1251,4
1252,2
1253,3
1254,8
1255,8
1256,3
1257,8
1258,3
1259,6
1260,6
1261,1
1262,6
1263,4
1264,3
1265,7
1266,3
1267,3
1268,2
1269,6
1270,3
1271,2
1272,2
1273,2
1274,5
1275,2
1276,2
1277,7
1278,6
1279,5
1280,4
1281,8
1282,6
1283,4
1284,5
1285,4
1286,4
1287,6
1288,7
1289,2
1290,2
1291,6
1292,2
1293,3
1294,5
1295,1
1296,6
1297,5
1298,4
1299,6
1300,6
1301,6
1302,6
1303,6
1304,7
1305,2
1306,4
1307,6
1308,6
1309,6
1310,7
1311,8
1312,6
1313,5
1314,2
1315,6
1316,6
1317,6
1318,6
1319,3
1320,6
1321,8
1322,3
1323,6
1324,6
1325,3
1326,7
1327,6
1328,6
1329,6
1330,2
1331,6
1332,6
1333,4
1334,3
1335,8
1336,3
1337,2
1338,3
1339,3
1340,6
1341,2
1342,2
1343,2
1344,6
1345,2
1346,2
1347,3
1348,7
1349,6
1350,3
1351,2
1352,7
1353,6
1354,5
1355,3
1356,2
1357,2
1358,5
1359,5
1360,4
1361,4
1362,6
1363,6
1364,7
1365,5
1366,4
1367,4
1368,6
1369,2
1370,6
1371,7
1372,7
1373,6
1374,8
1375,3
1376,2
1377,6
1378,2
1379,6
1380,2
1381,7
1382,5
1383,2
1384,2
1385,2
1386,3
1387,5
1388,2
1389,2
1390,5
1391,2
1392,6
1393,2
1394,4
1395,2
1396,2
1397,2
1398,7
1399,8
1400,4
1401,6
1402,3
1403,2
1404,2
1405,5
1406,5
1407,2
1408,5
1409,6
1410,5
1411,2
1412,5
1413,2
1414,2
1415,7
1416,3
1417,6
1418,4
1419,2
1420,4
1421,7
1422,2
1423,3
1424,2
1425,5
1426,3
1427,6
1428,6
1429,4
1430,6
1431,5
1432,7
1433,3
1434,5
1435,2
1436,3
1437,6
1438,7
1439,8
1440,6
1441,6
1442,5
1443,2
1444,7
1445,4
1446,4
1447,2
1448,4
1449,2
1450,2
1451,7
1452,3
1453,5
1454,4
1455,5
1456,2
1457,5
1458,7
1459,7
1460,2
1461,2
1462,2
1463,2
1464,7
1465,3
1466,2
1467,7
1468,4
1469,4
1470,6
1471,8
1472,2
1473,2
1474,7
1475,5
1476,6
1477,4
1478,2
1479,7
1480,7
1481,2
1482,5
1483,6
1484,2
1485,4
1486,3
1487,4
1488,2
1489,7
1490,4
1491,5
1492,6
1493,8
1494,8
1495,3
1496,5
1497,3
1498,7
1499,8
1500,6
1501,2
1502,5
1503,7
1504,6
1505,6
1506,2
1507,2
1508,8
1509,6
1510,4
1511,2
1512,7
1513,4
1514,6
1515,6
1516,3
1517,6
1518,2
1519,7
1520,3
1521,6
1522,6
1523,3
1524,6
1525,2
1526,3
1527,2
1528,2
1529,4
1530,5
1531,2
1532,7
1533,4
1534,6
1535,3
1536,4
1537,6
1538,7
1539,3
1540,2
1541,2
1542,6
1543,2
1544,7
1545,5
1546,5
1547,6
1548,8
1549,6
1550,6
1551,6
1552,2
1553,4
1554,2
1555,6
1556,7
1557,4
1558,2
1559,4
1560,6
1561,6
1562,2
1563,7
1564,5
1565,4
1566,6
1567,7
1568,6
1569,3
1570,2
1571,7
1572,2
1573,2
1574,6
1575,3
1576,7
1577,5
1578,2
1579,6
1580,2
1581,2
1582,8
1583,2
1584,5
1585,5
1586,5
1587,3
1588,6
1589,2
1590,2
1591,5
1592,6
1593,2
1594,4
1595,5
1596,3
1597,7
1598,2
1599,4
1600,2
1601,2
1602,5
1603,6
1604,8
1605,6
1606,5
1607,7
1608,2
1609,6
1610,8
1611,5
1612,6
1613,2
1614,6
1615,2
1616,5
1617,6
1618,6
1619,6
1620,6
1621,8
1622,6
1623,2
1624,2
1625,4
1626,5
1627,6
1628,6
1629,6
1630,4
1631,6
1632,5
1633,6
1634,3
1635,5
1636,2
1637,4
1638,6
1639,5
1640,5
1641,7
1642,6
1643,5
1644,2
1645,3
1646,2
1647,6
1648,6
1649,6
1650,4
1651,8
1652,4
1653,2
1654,2
1655,2
1656,8
1657,6
1658,2
1659,7
1660,5
1661,3
1662,2
1663,3
1664,3
1665,6
1666,5
1667,5
1668,6
1669,2
1670,6
1671,4
1672,4
1673,2
1674,6
1675,7
1676,2
1677,3
1678,4
1679,2
1680,3
1681,3
1682,2
1683,6
1684,2
1685,5
1686,6
1687,4
1688,6
1689,6
1690,6
1691,8
1692,2
1693,2
1694,2
1695,7
1696,4
1697,2
1698,6
1699,2
1700,6
1701,6
1702,7
1703,6
1704,8
1705,6
1706,3
1707,2
1708,7
1709,4
1710,4
1711,7
1712,6
1713,6
1714,6
1715,6
1716,8
1717,8
1718,6
1719,5
1720,6
1721,6
1722,5
1723,5
1724,7
1725,2
1726,2
1727,6
1728,5
1729,2
1730,2
1731,6
1732,3
1733,4
1734,5
1735,6
1736,5
1737,2
1738,6
1739,5
1740,3
1741,3
1742,2
1743,2
1744,3
1745,6
1746,3
1747,8
1748,4
1749,2
1750,4
1751,7
1752,3
1753,2
1754,6
1755,5
1756,4
1757,4
1758,4
1759,8
1760,5
1761,3
1762,6
1763,6
1764,4
1765,6
1766,6
1767,7
1768,6
1769,2
1770,8
1771,6
1772,5
1773,2
1774,3
1775,5
1776,2
1777,3
1778,2
1779,2
1780,5
1781,2
1782,6
1783,2
1784,8
1785,6
1786,4
1787,2
1788,5
1789,6
1790,6
1791,6
1792,2
1793,5
1794,6
1795,3
1796,2
1797,5
1798,7
1799,4
1800,2
1801,6
1802,7
1803,7
1804,7
1805,5
1806,5
1807,5
1808,8
1809,4
1810,5
1811,3
1812,5
1813,2
1814,2
1815,6
1816,3
1817,6
1818,7
1819,3
1820,5
1821,4
1822,8
1823,3
1824,6
1825,6
1826,5
1827,5
1828,4
1829,3
1830,5
1831,7
1832,6
1833,5
1834,6
1835,3
1836,4
1837,7
1838,3
1839,5
1840,8
1841,6
1842,6
1843,3
1844,3
1845,6
1846,7
1847,5
1848,2
1849,2
1850,7
1851,2
1852,7
1853,6
1854,3
1855,4
1856,7
1857,5
1858,7
1859,6
1860,2
1861,5
1862,7
1863,2
1864,5
1865,3
1866,6
1867,5
1868,2
1869,7
1870,6
1871,4
1872,5
1873,2
1874,6
1875,5
1876,2
1877,5
1878,5
1879,6
1880,4
1881,3
1882,2
1883,5
1884,4
1885,2
1886,5
1887,4
1888,5
1889,2
1890,7
1891,4
1892,7
1893,4
1894,5
1895,4
1896,6
1897,8
1898,2
1899,5
1900,6
1901,6
1902,4
1903,7
1904,2
1905,7
1906,2
1907,6
1908,4
1909,4
1910,4
1911,8
1912,4
1913,5
1914,2
1915,3
1916,3
1917,6
1918,6
1919,7
1920,2
1921,4
1922,4
1923,7
1924,6
1925,1
1926,2
1927,6
1928,4
1929,4
1930,4
1931,2
1932,6
1933,2
1934,4
1935,2
1936,6
1937,2
1938,7
1939,2
1940,4
1941,4
1942,3
1943,2
1944,5
1945,3
1946,5
1947,6
1948,5
1949,2
1950,2
1951,4
1952,6
1953,2
1954,5
1955,4
1956,7
1957,7
1958,5
1959,2
1960,6
1961,4
1962,2
1963,6
1964,6
1965,2
1966,5
1967,2
1968,5
1969,2
1970,2
1971,2
1972,2
1973,6
1974,3
1975,6
1976,6
1977,5
1978,2
1979,4
1980,6
1981,3
1982,6
1983,2
1984,5
1985,3
1986,3
1987,2
1988,7
1989,7
1990,7
1991,4
1992,7
1993,2
1994,2
1995,3
1996,6
1997,6
1998,2
1999,6
2000,3
2001,2
2002,5
2003,2
2004,5
2005,5
2006,6
2007,7
2008,6
2009,4
2010,4
2011,6
2012,7
2013,8
2014,7
2015,2
2016,7
2017,4
2018,8
2019,6
2020,4
2021,3
2022,5
2023,6
2024,7
2025,2
2026,8
2027,4
2028,7
2029,6
2030,2
2031,6
2032,4
2033,6
2034,6
2035,5
2036,7
2037,7
2038,3
2039,2
2040,7
2041,7
2042,4
2043,5
2044,2
2045,4
2046,2
2047,8
2048,6
2049,2
2050,2
2051,2
2052,3
2053,6
2054,2
2055,4
2056,6
2057,2
2058,6
2059,3
2060,4
2061,2
2062,6
2063,3
2064,8
2065,2
2066,5
2067,2
2068,6
2069,6
2070,6
2071,6
2072,2
2073,6
2074,4
2075,2
2076,4
2077,7
2078,4
2079,2
2080,2
2081,2
2082,7
2083,6
2084,6
2085,6
2086,5
2087,5
2088,4
2089,2
2090,6
2091,2
2092,2
2093,6
2094,3
2095,3
2096,2
2097,6
2098,6
2099,6
2100,5
2101,8
2102,6
2103,8
2104,5
2105,7
2106,2
2107,4
2108,7
2109,6
2110,2
2111,2
2112,7
2113,3
2114,3
2115,4
2116,5
2117,7
2118,6
2119,7
2120,6
2121,5
2122,6
2123,3
2124,6
2125,5
2126,2
2127,2
2128,5
2129,4
2130,2
2131,7
2132,7
2133,3
2134,7
2135,7
2136,2
2137,2
2138,5
2139,7
2140,2
2141,7
2142,3
2143,6
2144,7
2145,6
2146,5
2147,6
2148,5
2149,7
2150,5
2151,5
2152,2
2153,7
2154,6
2155,2
2156,5
2157,8
2158,2
2159,5
2160,3
2161,2
2162,3
2163,6
2164,2
2165,6
2166,2
2167,2
2168,6
2169,3
2170,6
2171,7
2172,6
2173,6
2174,3
2175,4
2176,4
2177,7
2178,6
2179,2
2180,7
2181,4
2182,3
2183,4
2184,3
2185,2
2186,4
2187,5
2188,4
2189,4
2190,6
2191,6
2192,5
2193,3
2194,4
2195,6
2196,2
2197,4
2198,2
2199,5
2200,2
2201,6
2202,5
2203,6
2204,5
2205,6
2206,6
2207,6
2208,6
2209,6
2210,4
2211,7
2212,6
2213,2
2214,2
2215,6
2216,6
2217,2
2218,2
2219,4
2220,8
2221,3
2222,6
2223,4
2224,8
2225,6
2226,3
2227,4
2228,4
2229,6
2230,7
2231,8
2232,4
2233,7
2234,5
2235,2
2236,4
2237,7
2238,8
2239,2
2240,3
2241,4
2242,2
2243,4
2244,5
2245,6
2246,5
2247,8
2248,7
2249,4
2250,6
2251,2
2252,7
2253,6
2254,5
2255,8
2256,7
2257,5
2258,6
2259,8
2260,7
2261,7
2262,3
2263,2
2264,2
2265,6
2266,8
2267,6
2268,2
2269,6
2270,5
2271,6
2272,2
2273,4
2274,2
2275,3
2276,5
2277,2
2278,2
2279,5
2280,2
2281,2
2282,5
2283,2
2284,2
2285,2
2286,4
2287,8
2288,2
2289,6
2290,2
2291,5
2292,7
2293,6
2294,2
2295,6
2296,7
2297,4
2298,8
2299,6
2300,2
2301,3
2302,4
2303,2
2304,2
2305,6
2306,2
2307,7
2308,6
2309,4
2310,4
2311,8
2312,4
2313,2
2314,8
2315,2
2316,7
2317,4
2318,7
2319,2
2320,5
2321,6
2322,6
2323,7
2324,7
2325,4
2326,2
2327,3
2328,6
2329,2
2330,3
2331,6
2332,6
2333,7
2334,6
2335,6
2336,2
2337,6
2338,6
2339,2
2340,4
2341,2
2342,3
2343,6
2344,5
2345,5
2346,5
2347,7
2348,4
2349,6
2350,6
2351,5
2352,4
2353,2
2354,3
2355,2
2356,4
2357,6
2358,4
2359,6
2360,7
2361,4
2362,2
2363,2
2364,7
2365,7
2366,3
2367,6
2368,5
2369,6
2370,5
2371,6
2372,2
2373,2
2374,8
2375,2
2376,8
2377,3
2378,2
2379,2
2380,2
2381,6
2382,7
2383,6
2384,2
2385,7
2386,3
2387,7
2388,6
2389,2
2390,2
2391,3
2392,6
2393,6
2394,4
2395,6
2396,6
2397,6
2398,2
2399,2
2400,4
2401,6
2402,4
2403,7
2404,2
2405,3
2406,2
2407,5
2408,8
2409,2
2410,2
2411,7
2412,2
2413,4
2414,2
2415,3
2416,2
2417,7
2418,2
2419,8
2420,2
2421,2
2422,2
2423,6
2424,8
2425,3
2426,2
2427,7
2428,3
2429,6
2430,6
2431,4
2432,3
2433,6
2434,6
2435,5
2436,5
2437,7
2438,2
2439,8
2440,4
2441,5
2442,4
2443,3
2444,6
2445,5
2446,4
2447,6
2448,6
2449,2
2450,2
2451,2
2452,2
2453,2
2454,8
2455,6
2456,2
2457,2
2458,5
2459,6
2460,6
2461,6
2462,5
2463,4
2464,5
2465,6
2466,4
2467,2
2468,3
2469,3
2470,3
2471,3
2472,2
2473,5
2474,5
2475,2
2476,4
2477,5
2478,8
2479,6
2480,2
2481,3
2482,8
2483,7
2484,4
2485,2
2486,2
2487,2
2488,4
2489,6
2490,4
2491,4
2492,7
2493,2
2494,4
2495,8
2496,8
2497,5
2498,7
2499,3
2500,5
2501,4
2502,5
2503,2
2504,2
2505,7
2506,2
2507,6
2508,4
2509,5
2510,8
2511,2
2512,7
2513,3
2514,2
2515,7
2516,5
2517,2
2518,8
2519,6
2520,5
2521,7
2522,8
2523,2
2524,2
2525,7
2526,3
2527,2
2528,6
2529,6
2530,6
2531,6
2532,3
2533,2
2534,2
2535,2
2536,5
2537,3
2538,7
2539,2
2540,5
2541,2
2542,7
2543,8
2544,2
2545,6
2546,6
2547,2
2548,2
2549,7
2550,7
2551,7
2552,2
2553,2
2554,5
2555,4
2556,8
2557,6
2558,2
2559,8
2560,2
2561,7
2562,2
2563,7
2564,8
2565,5
2566,2
2567,6
2568,7
2569,6
2570,7
2571,5
2572,2
2573,6
2574,6
2575,3
2576,6
2577,6
2578,3
2579,2
2580,6
2581,6
2582,2
2583,3
2584,2
2585,2
2586,6
2587,3
2588,6
2589,4
2590,6
2591,4
2592,4
2593,5
2594,4
2595,4
2596,6
2597,5
2598,3
2599,5
2600,3
2601,7
2602,6
2603,2
2604,6
2605,3
2606,3
2607,6
2608,5
2609,8
2610,6
2611,2
2612,7
2613,7
2614,7
2615,8
2616,2
2617,6
2618,2
2619,2
2620,3
2621,3
2622,7
2623,3
2624,2
2625,2
2626,4
2627,7
2628,2
2629,2
2630,2
2631,7
2632,3
2633,7
2634,2
2635,7
2636,6
2637,6
2638,7
2639,5
2640,8
2641,2
2642,6
2643,6
2644,5
2645,6
2646,2
2647,6
2648,2
2649,3
2650,4
2651,3
2652,8
2653,7
2654,8
2655,2
2656,5
2657,5
2658,2
2659,2
2660,7
2661,3
2662,7
2663,4
2664,2
2665,6
2666,7
2667,3
2668,2
2669,8
2670,6
2671,8
2672,5
2673,7
2674,2
2675,3
2676,7
2677,6
2678,6
2679,3
2680,3
2681,6
2682,7
2683,6
2684,7
2685,8
2686,5
2687,2
2688,2
2689,6
2690,5
2691,2
2692,7
2693,4
2694,6
2695,3
2696,6
2697,6
2698,3
2699,2
2700,6
2701,4
2702,4
2703,6
2704,7
2705,1
2706,7
2707,2
2708,6
2709,5
2710,4
2711,7
2712,3
2713,6
2714,5
2715,6
2716,3
2717,6
2718,6
2719,6
2720,8
2721,6
2722,7
2723,2
2724,3
2725,2
2726,2
2727,6
2728,5
2729,6
2730,7
2731,6
2732,2
2733,2
2734,2
2735,5
2736,8
2737,7
2738,2
2739,2
2740,5
2741,4
2742,7
2743,3
2744,2
2745,3
2746,2
2747,2
2748,2
2749,2
2750,2
2751,3
2752,7
2753,5
2754,7
2755,6
2756,5
2757,5
2758,5
2759,6
2760,4
2761,7
2762,6
2763,3
2764,3
2765,5
2766,4
2767,3
2768,5
2769,2
2770,2
2771,8
2772,2
2773,2
2774,6
2775,6
2776,5
2777,7
2778,2
2779,6
2780,4
2781,2
2782,2
2783,2
2784,6
2785,7
2786,7
2787,5
2788,5
2789,2
2790,7
2791,2
2792,4
2793,7
2794,3
2795,2
2796,4
2797,5
2798,3
2799,8
2800,4
2801,7
2802,3
2803,8
2804,3
2805,8
2806,4
2807,2
2808,7
2809,2
2810,7
2811,6
2812,2
2813,6
2814,4
2815,5
2816,5
2817,2
2818,2
2819,7
2820,6
2821,2
2822,7
2823,5
2824,4
2825,3
2826,6
2827,7
2828,8
2829,4
2830,2
2831,6
2832,2
2833,2
2834,6
2835,7
2836,5
2837,6
2838,7
2839,6
2840,2
2841,2
2842,6
2843,8
2844,6
2845,6
2846,6
2847,2
2848,2
2849,7
2850,6
2851,4
2852,8
2853,8
2854,4
2855,2
2856,2
2857,6
2858,7
2859,3
2860,2
2861,6
2862,2
2863,7
2864,2
2865,7
2866,5
2867,2
2868,4
2869,2
2870,2
2871,6
2872,2
2873,2
2874,7
2875,6
2876,2
2877,8
2878,2
2879,3
2880,2
2881,5
2882,4
2883,2
2884,2
2885,6
2886,2
2887,6
2888,6
2889,4
2890,6
2891,6
2892,4
2893,6
2894,3
2895,5
2896,3
2897,2
2898,6
2899,7
2900,2
2901,6
2902,3
2903,2
2904,7
2905,2
2906,4
2907,5
2908,7
2909,8
2910,2
2911,4
2912,4
2913,6
2914,2
2915,8
2916,5
2917,2
2918,3
2919,7
2920,3
2921,2
2922,2
2923,6
2924,7
2925,2
2926,2
2927,7
2928,5
2929,7
2930,7
2931,2
2932,2
2933,8
2934,2
2935,7
2936,2
2937,4
2938,6
2939,7
2940,4
2941,2
2942,2
2943,5
2944,7
2945,5
2946,8
2947,8
2948,8
2949,4
2950,6
2951,4
2952,4
2953,6
2954,6
2955,3
2956,6
2957,2
2958,4
2959,4
2960,2
2961,3
2962,7
2963,8
2964,4
2965,5
2966,5
2967,2
2968,4
2969,2
2970,8
2971,2
2972,4
2973,6
2974,6
2975,2
2976,2
2977,4
2978,2
2979,3
2980,6
2981,5
2982,2
2983,2
2984,7
2985,5
2986,6
2987,5
2988,8
2989,7
2990,2
2991,2
2992,2
2993,7
2994,7
2995,7
2996,6
2997,5
